"name","en_name","price:","net_price","discount_percent","review_count","review_rate",subcategory_name
"부자 진 개똥쑥","Buja Gin Wormwood","78000","null","0","0","0","증류주"
"맥파이 후딱","Magpie Quickie","7000","null","0","0","0","에일"
"맥파이 후딱","Magpie Quickie","7000","null","0","0","0","에일"
"맥파이 쾰시","Magpie Kolsch","7500","null","0","0","0","에일"
"맥파이 쾰시","Magpie Kolsch","7500","null","0","0","0","에일"
"맥파이 첫차","Magpie First Train","7000","null","0","0","0","에일"
"맥파이 첫차","Magpie First Train","7000","null","0","0","0","에일"
"건축가가 빚은 막걸리","Makgeolli Made By An Architect","21500","null","0","0","0","발효주"
"건축가가 빚은 막걸리","Makgeolli Made By An Architect","21500","null","0","0","0","발효주"
"맥캘란 12년 셰리 오크","Macallan 12yo Sherry Oak","175000","null","0","313","4.9","싱글몰트"
"맥캘란 12년 트리플 캐스크","Macallan 12yo Triple Cask","139000","null","0","122","4.9","싱글몰트"
"글렌알라키 10년 CS 배치 9","GlenAllachie 10yo Cask Strength Batch 9","179000","null","0","30","4.9","싱글몰트"
"[200장 추가오픈] [어슬렁] 위스키 시음권","Aslung Tasting Ticket","6000","null","0","5","5",""
"닷사이 준마이 다이긴죠 45","Dassai Junmai Daiginjo 45","60900","null","0","6","4.2",""
"쿠보타 센쥬","Kubota Senjyu","36900","null","0","1","5","긴죠"
"글렌모렌지 라산타 12년(신형) & 네이키드 몰트","Glenmorangie Lasanta 12yo & Naked Malt","149000","null","0","0","0","싱글몰트"
"더 글렌그란트 10년 & 글렌모렌지 오리지널 10년","The Glen Grant 10yo & Glenmorangie Original 10yo","125000","null","0","3","5","싱글몰트"
"맥캘란 12년 트리플 캐스크","Macallan 12yo Triple Cask","137000","null","0","122","4.9","싱글몰트"
"[6월할인판매 구형제품] 싱글톤 더프타운 12년(구형)","Singleton Dufftown 12yo","79000","null","0","0","0","싱글몰트"
"산토리 가쿠빈 & 커티 삭 프로히비션 에디션","Suntory Kakubin & Cutty Sark Prohibition Edition","86000","null","0","1","5","블렌디드"
"호랑이 생막걸리","Tiger Makgeolli","3500","null","0","0","0","발효주"
"닷사이 준마이 다이긴죠 45","Dassai Junmai Daiginjo 45","60900","null","0","6","4.2",""
"쿠보타 센쥬","Kubota Senjyu","36900","null","0","1","5","긴죠"
"프로메사 모스카토","Promesa Moscato","9900","null","0","314","4.8","스파클링 와인"
"헌터랭 퍼스트 에디션 2007 탐두 15년","Hunter Laing First Edition 2007 Tamdhu 15yo","375000","null","0","1","5","싱글몰트"
"달모어 15년","Dalmore 15yo","229000","null","0","90","4.8","싱글몰트"
"옐로우 로즈 라이","Yellow Rose Rye","88000","null","0","6","5","아메리칸(버번)"
"옐로우 로즈 해리스 카운티","Yellow Rose Harris County","78000","null","0","120","4.6","아메리칸(버번)"
"간치아, 모스카토 다스티","Gancia, Moscato d'Asti","20800","null","0","2","5","스파클링 와인"
"수정방","Shui Jing Fang","399000","null","0","0","0","백주(고량주)"
"닷사이 준마이 다이긴죠 23","Dassai Junmai Daiginjo 23","210000","null","0","4","5",""
"글렌고인 21년","Glengoyne 21yo","560000","null","0","2","5","싱글몰트"
"글렌피딕 15년 힙플라스크 패키지","Glenfiddich 15yo Hip Flask Package","132000","null","0","1","5","싱글몰트"
"버팔로 트레이스 1L","Buffalo Trace 1L","65000","null","0","44","5","아메리칸(버번)"
"인비보 X 사라 제시카 파커 말보로 소비뇽 블랑","INVIVO X Sarah Jessica Parker Marlborough Sauvignon Blanc","35000","null","0","93","4.9","화이트 와인"
"라센달 셀렉시오","Lasendal seleccio","35000","null","0","0","0","레드 와인"
"아란 10년","Arran 10yo","110000","null","0","121","4.9","싱글몰트"
"글렌드로낙 18년","Glendronach 18yo","440000","null","0","8","4.9","싱글몰트"
"글렌드로낙 21년","Glendronach 21yo","520000","null","0","33","4.9","싱글몰트"
"E.H. 테일러 스몰배치","E.H. Taylor Small Batch","189000","null","0","8","4.9","아메리칸(버번)"
"우드포드 리저브 라이 700ml","Woodford Reserve Rye 700ml","82000","null","0","0","0","라이"
"툴리바딘 225 소테른 캐스크 피니쉬","Tullibardine 225 Sauternes Cask Finish","89000","null","0","17","4.6","싱글몰트"
"툴리바딘 228 버건디 캐스크 피니쉬","Tullibardine 228 Burgundy Cask Finish","89000","null","0","39","4.7","싱글몰트"
"툴리바딘 500 셰리 캐스크 피니쉬","Tullibardine 500 Sherry Cask Finish","89000","null","0","35","4.8","싱글몰트"
"툴리바딘 15년","Tullibardine 15yo","149000","null","0","32","5","싱글몰트"
"쿠보타 만쥬","Kubota Manjyu","135000","null","0","5","5",""
"글렌알라키 8년","GlenAllachie 8yo","101000","null","0","31","4.8","싱글몰트"
"야마자키 12년 100주년 기념 에디션","Yamazaki 12yo 100th Anniversary Edition","880000","null","0","2","5","싱글몰트"
"쿠보타 준마이 다이긴죠","Kubota Junmai Daiginjo","49500","null","0","425","4.8","준마이 다이긴죠"
"글렌알라키 10년 CS 배치 9","GlenAllachie 10yo Cask Strength Batch 9","172000","null","0","30","4.9","싱글몰트"
"쿠보타 센쥬 준마이 긴죠","Kubota Senjyu Junmai Ginjo","49000","null","0","14","4.6","준마이 긴죠"
